Country,2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Bosnia and Herzegovina,63.14370521,64.80124587,68.82235545,74.42223047,81.61358355,87.76406491,82.01331797,74.50957839
Botswana,4.519408935,4.375261168,3.960774914,3.593924399,2.967328179,2.304938144,1.612676976,1.017601375
Brazil,25.28409925,25.03547878,24.09509384,23.05764026,20.65271631,17.69734259,14.3602312,11.31664065
British Virgin Islands,207.3178808,204.7019868,194.4768212,182.4900662,133.1390728,103.4238411,73.56953642,63.45033113
Brunei,77.88412836,76.62185603,73.10268864,68.69956635,57.92298352,45.43417173,32.59687771,23.12974848
Bulgaria,61.16535142,62.94406515,65.92098594,68.47349814,73.03178239,79.07519007,80.99465183,77.40825585
Burkina Faso,83.06411398,78.84698883,68.57246114,59.04319936,43.53232442,33.45225247,25.39855367,20.55803815
Burundi,463.087447,439.0395559,385.3972839,327.8941223,226.6170511,197.017784,154.9484084,125.6676726
Cambodia,92.6221007,90.57287265,85.16321706,79.34118817,66.94197807,49.22146546,34.24177093,37.05650841
Cameroon,58.7128104,55.71886161,48.40263586,41.80959192,31.74223985,24.04188103,17.91993766,13.57218546
Canada,3.851336799,3.794687756,3.578698745,3.401555785,3.073042274,2.769966759,2.454914384,2.146748666
Cape Verde,147.0738904,144.4681379,136.9119762,129.2367964,113.6253409,90.39499132,78.65955864,71.22787007
Cayman Islands,260.25,254.9659091,230.7234848,204.8257576,150.219697,98.58712121,64.77272727,39.89772727
Central African Republic,8.955517317,8.576496347,7.735885673,7.480235447,6.034135708,4.509298794,3.876947081,3.318473669
Chad,13.80320483,12.96316277,11.01267445,9.263806075,6.432349688,4.538215732,3.433200935,2.856225857
Chile,25.92736562,25.5260732,23.63454137,22.48924351,20.30387302,17.64691536,15.16968346,12.98830184
China,146.8932797,146.7946334,143.5789685,138.88913,130.2260377,118.8532901,101.2028858,84.73655658
Colombia,45.43386457,44.60762095,41.26981435,39.25218875,34.34657648,28.55393046,22.92642072,18.30986698
Comoros,449.3952739,432.9570354,392.1675618,352.3222342,288.2696026,231.5354458,176.3308271,130.1562836
Cook Islands,72.08050847,72.15677966,74.97881356,72.93220339,67.36016949,72.55508475,74.79237288,86.73728814
Costa Rica,101.3860861,100.2564579,95.79729941,90.45502935,77.8707045,61.80534247,47.24663405,36.31500978
Croatia,71.21528784,72.39050076,75.18137965,77.19337739,80.36954447,86.11702654,82.69682298,79.38364491
Cuba,102.0366113,102.8420698,103.1987733,102.7485075,101.0683175,96.70816497,89.26783699,80.71817553
Curacao,430.5472973,426.3243243,381.9189189,358.963964,318.5225225,350.1036036,353.268018,338.704955
Cyprus,135.281375,133.7733218,128.3407199,122.1150146,102.5010269,85.23402875,73.43281807,69.26861961
Czech Republic,133.0626514,133.5313891,133.4406644,132.6919292,129.7750586,130.6180435,130.223293,124.2090154
Denmark,136.4983756,135.1845036,131.7537476,128.8079315,123.9303615,119.381422,118.935165,114.2377825
Djibouti,48.3124569,46.98948276,43.37323276,39.62064655,31.98418103,24.87814655,13.97073276,6.223232759
Dominica,96.85352863,95.86551265,93.2183755,91.55126498,91.00665779,92.51797603,97.17443409,91.73768309
Dominican Republic,230.7086561,226.0003698,213.7994288,200.8537938,175.4800805,146.4733414,118.2593331,91.96176368
DR Congo,42.22439568,39.59862985,33.54442103,28.31355118,20.73316039,15.34742871,11.39032129,8.594009957
Ecuador,65.02288317,63.53320137,58.50254117,54.14510495,45.60923779,37.74671021,29.3881506,22.29516221
Egypt,110.7188418,107.2024879,97.48496085,87.03916704,71.1969385,57.07479675,43.641634,34.6969784
El Salvador,301.1450026,299.0699587,296.1392519,290.5771589,283.1843544,255.0819353,214.2955183,172.001806
Equatorial Guinea,59.70938647,56.89811415,48.01871591,39.0190724,24.41898685,16.59652062,10.07126306,11.29924067
Eritrea,31.32680272,30.23697279,28.40141156,26.76638605,20.34761905,18.28197279,14.09848639,10.82268707
Estonia,29.32014062,29.39491896,29.06796825,29.44115241,30.88590886,34.72867977,32.65710748,30.11473235
Eswatini,69.20467634,67.99441373,65.30384704,63.34485142,59.34669431,49.18284957,34.47155033,25.50478
Ethiopia,111.726817,106.1223499,92.79352984,80.80937336,60.70077606,43.35603821,31.64490537,25.63456126
Falkland Islands,0.310523289,0.307812372,0.279963854,0.261808921,0.253018976,0.191571511,0.184013801,0.186806868
Faroe Islands,38.11198851,37.62742283,35.04379038,34.75233309,32.7781766,34.08399139,30.90739411,27.57788945
Fiji,50.88474168,50.37335814,50.19702277,49.53858363,45.56200744,42.71179947,35.2770359,28.87664186
Finland,16.37219878,16.33887668,16.19111233,15.84778562,15.29504113,14.73460807,14.12257405,13.61198083
France,117.1419498,116.8762686,115.6613147,113.1867554,106.3367495,102.2537761,97.36145878,91.57883613
French Guiana,3.645904662,3.483240357,3.076902818,2.73485048,1.967474322,1.363887758,0.799973663,0.556468025
French Polynesia,73.50107991,72.4550036,70.02327814,68.10367171,60.21766259,50.65730742,39.2586993,28.29157667
Gabon,8.925205852,8.564987223,7.578481552,6.392639389,4.755648789,3.67256452,2.798534005,2.231092249
Gambia,253.1567032,240.8078398,210.7898774,181.2400599,134.4876976,97.35391524,67.22668164,49.46496398
Georgia,53.72144907,54.03030129,54.10519369,55.04779053,61.19328551,77.3548924,73.8284505,68.87268293
Germany,233.4544235,233.3400203,229.8236025,227.7286525,228.3631473,222.254507,217.8203683,219.2425472
Ghana,140.3406237,134.9096393,121.0354081,107.2166912,82.44352773,64.75825986,49.7425765,37.15165197
Gibraltar,5441.5,5451.5,5420,5210.333333,4623.5,4552.833333,4789,4447.5
Greece,78.67998333,79.64415486,81.87469505,83.59559815,83.62837336,78.05329949,70.51403894,64.73879082
Greenland,0.026068217,0.025865086,0.025804608,0.026015126,0.025938028,0.025667956,0.023132046,0.02097516
Grenada,364.6453488,359.4854651,345.872093,331.5087209,312.3023256,287.9273256,275.6918605,287.1918605
Guadeloupe,243.0909091,243.0233415,245.1406634,247.5872236,260.4834152,240.7561425,205.3034398,195.522113
Guam,312.8852459,308.2531876,305.9708561,300.3734062,291.7814208,251.845173,200.8852459,160.8378871
Guatemala,163.8724573,159.4533699,146.9487919,133.5591382,107.7785084,83.43156793,64.17330493,50.08043053
Guernsey,811.5512821,805.0512821,790.1153846,779.2564103,757.8717949,740.0897436,677.6923077,675.0769231
Guinea,56.37155338,53.71070582,47.28764282,41.77521079,33.90982156,25.84488137,20.22561489,17.17410527
Guinea-Bissau,58.28556401,55.80146713,49.52024913,43.3832526,34.07194464,26.94950865,23.01624913,16.37821453
Guyana,3.762058715,3.708450986,3.512278515,3.479255148,3.530978885,3.475459252,3.619945201,3.28075676
Haiti,417.4773333,407.4522883,380.6759279,354.6983784,301.2693694,249.5614775,203.4838198,168.6779099
Honduras,92.7431284,89.97762508,82.62369769,75.12474665,59.1750969,44.92082993,33.58452157,24.73734132
Hong Kong,6783.39221,6794.346014,6702.751812,6460.541667,6097.09692,5288.563406,4509.550725,3582.492754
Hungary,107.1430967,104.8133143,105.8202477,107.3528938,109.6664983,111.5361934,115.004934,110.8845294
Iceland,3.620378641,3.559893204,3.214174757,3.09061165,2.732640777,2.475912621,2.216145631,1.985126214
India,431.0674911,424.7449125,402.3818375,377.3626334,322.3132066,264.7690755,211.9572042,169.5775024
Indonesia,144.6528527,142.7398902,136.0370614,128.1214663,112.3994043,95.64362016,77.80085468,60.50103409
Iran,53.72578487,52.96108349,49.62449285,45.73115135,39.76737158,33.85135193,23.37142389,17.26112808
Iraq,101.5158481,97.09179429,86.14270722,71.32936893,56.1896025,40.28678103,31.14953105,22.38413523
Ireland,71.47992828,70.38434392,66.39477466,64.38582386,53.63297426,49.5976264,48.26017105,41.80321034
Isle of Man,147.7604895,146.9335664,146.1416084,146.5524476,132.1013986,120.3933566,111.9265734,96.67482517
Israel,435.1617236,421.6412614,385.545402,352.8379875,294.5092922,231.25922,180.2892634,139.9762638
Italy,195.919087,197.4559263,199.8861935,198.5240728,189.0461047,188.3497524,186.9324674,176.9587305
Ivory Coast,87.32952928,83.14687266,73.1765846,65.4960166,52.09797713,36.93614461,25.75119936,16.98516109
Jamaica,257.2447457,256.613229,254.248476,248.7395141,237.6676372,217.635338,194.2995178,169.1466655
Japan,327.9752653,331.3967163,336.7050327,338.9660281,335.5220835,327.2730955,311.2327574,278.9321806
Jersey,954.9827586,933.7844828,866.9051724,828.887931,743.0344828,714.4310345,647.6206897,589.1982759
Jordan,126.3220993,122.3245618,106.2685635,77.58118242,56.59347228,38.95801527,24.81367106,17.43159992
Kazakhstan,7.118792616,6.965115417,6.545527909,6.102182465,5.591490697,6.189791552,5.201185365,4.501194539
Kenya,93.09193493,89.57397647,80.72734666,71.53731174,53.15878746,39.90969335,27.89118609,19.76867568
Kiribati,161.8150432,155.9346486,143.9050555,133.162762,109.5265105,92.63131936,74.98520345,70.82244143
Kuwait,239.5820519,244.7212931,219.3704681,165.1900326,108.5924907,94.00258166,83.84049837,45.05477607
Kyrgyzstan,33.1612395,32.1322424,29.58214763,27.42558927,24.68195708,21.97905487,18.46056784,15.08561598
Laos,31.79676943,30.90962416,28.66308699,26.70362331,22.93434544,18.21977618,13.92533361,11.2976478
Latvia,28.66604192,29.38477981,30.85479949,32.55208414,37.0595889,41.65787884,39.84009975,37.13524063
Lebanon,525.2333525,541.8028129,612.2215844,477.9755071,413.3794489,343.8289323,283.5535783,227.8789705
Lesotho,75.96195026,74.25794762,69.79150058,66.63636963,65.84187119,59.26526108,46.3736452,33.71704826
Liberia,47.61361779,45.68222755,41.41483716,36.09582559,25.99667771,19.84152682,17.34925338,13.14156543
Libya,3.871660207,3.781637246,3.519235141,3.689593871,2.929623652,2.40800607,1.683803721,1.08504325
Liechtenstein,245.79375,242.225,233.46875,224.5375,206.4125,179.78125,156.26875,131.80625
Lithuania,42.11416539,43.18938744,45.38690658,48.07073507,55.12460949,57.97621746,53.92352221,49.15998469
Luxembourg,250.4249807,243.7737819,220.1887084,196.0827533,168.4563032,147.4350348,140.6577726,131.2227378
Macau,23172.26667,22542.76667,20507.96667,18576.56667,14396.53333,11674.23333,8177.733333,8242.8
Madagascar,50.44232686,48.08041857,42.33249807,37.01794764,27.62401774,20.24179231,15.2428229,11.31054049
Malawi,172.2200213,163.5415837,142.9639614,124.2228655,94.77555619,80.51437325,52.89633199,39.03599642
Malaysia,102.5934499,100.3618256,93.91944148,86.81218429,69.36197677,52.9531292,39.95038437,31.15602942
Maldives,1745.956667,1714.793333,1451.94,1205.25,941.69,749.8566667,549.6233333,410.81
Mali,18.21781627,17.11351146,14.60492166,12.52159424,9.062387921,7.212613853,5.944709368,4.961801882
Malta,1687.613924,1630.876582,1444.870253,1325.174051,1263.329114,1156.303797,1055.655063,998.1455696
Marshall Islands,229.6629834,239.8508287,272.9834254,295.1160221,299.5801105,254.4033149,176.7292818,132.4254144
Martinique,325.804078,328.3608156,339.9955674,347.6781915,383.4601064,331.8005319,295.9095745,289.3865248
Mauritania,4.595070341,4.364610459,3.828679538,3.317610362,2.614730765,1.946276317,1.461816241,1.088772679
Mauritius,636.9946078,636.1901961,633.8985294,629.0833333,596.0441176,534.4558824,468.0710784,406.9191176
Mayotte,871.9278075,817.0775401,667.2326203,566.2727273,425.7085561,247.7513369,139.6604278,94.60695187
Mexico,64.90824053,64.14167458,61.16444009,57.28661839,49.82421483,41.60123602,34.46652803,25.60066484
Micronesia,162.6267806,159.6951567,155.9287749,153.2592593,159.1296296,140.460114,108.6880342,84.02991453
Moldova,96.7025941,91.14362111,96.83235833,108.6741712,125.6152278,132.3701176,121.232642,109.6478166
Monaco,18234.5,18461,18380,16589,16232.5,15164.5,13538,12135
Mongolia,2.172715474,2.106204167,1.895486251,1.727832441,1.567011911,1.381893217,1.085460741,0.827230821
Montenegro,45.40124529,45.54358529,45.89965248,45.68809731,45.85317116,44.99290472,42.66753548,38.39183319
Montserrat,43.03921569,44.11764706,49.59803922,48.41176471,50.37254902,105.9313725,112.2745098,111.7843137
Morocco,83.88303885,82.16050162,77.66310156,72.70152279,63.9444967,55.02365693,44.06772814,34.20524241
Mozambique,41.13015008,38.89549396,33.48750109,28.78494367,22.16657518,16.59633853,14.23868436,10.49373869
Myanmar,80.07843294,78.96088552,76.09462471,73.00117355,67.3068471,59.26818933,49.46330061,40.32663196
Namibia,3.109211921,3.014841058,2.764852867,2.54267546,2.203376877,1.658171181,1.182141797,0.91382424
Nauru,603.2380952,586.4285714,532.6190476,487.6666667,494.1428571,457.047619,363.5714286,317.2857143
Nepal,207.5511105,199.4049979,187.5943566,184.5453353,166.8659678,133.2816736,105.994945,84.93817137
Netherlands,419.6897013,416.5963441,407.1949104,397.0637037,379.9076464,357.0979211,337.6436559,311.5337157
New Caledonia,15.60969044,15.41873486,15.23725437,14.07407806,11.9266218,9.543149394,7.999946164,5.974804845
New Zealand,19.17161058,18.71257122,16.97282848,16.06975343,14.25410863,12.56119601,11.63605172,10.44142539
Nicaragua,53.29624999,51.81974028,48.31213518,44.91523552,39.29664885,32.42864704,25.33737047,18.75209591
Niger,20.68506472,19.2057135,15.88644357,13.13933938,9.173374112,6.60666693,4.872278611,3.685641673
Nigeria,236.5758632,225.5191834,199.1796479,174.2351467,132.9900841,103.0716121,78.97160218,60.15499996
Niue,7.438461538,7.469230769,7.103846154,6.969230769,7.976923077,9.742307692,13.98846154,19.94230769
North Korea,216.2754982,214.6001012,209.5440027,204.8020956,193.8563689,172.5557335,149.1118983,124.4161924
North Macedonia,81.42180998,82.10134951,81.98039902,81.43071598,79.25702952,79.49963054,74.16571384,64.43367168
Northern Mariana Islands,106.7909483,106.8685345,111.0215517,116.5668103,173.1422414,103.4525862,37.95905172,21.85991379
Norway,16.78284569,16.61459472,16.02941304,15.10102161,13.87021081,13.09947437,12.61813083,11.96887604
Oman,14.78610016,14.67980291,13.54370275,9.311515347,7.574323102,5.830449111,3.287437803,2.167021002
Pakistan,267.4018065,257.6183803,239.218083,220.4919516,175.0400539,130.8680106,91.4196167,67.22991863
Palau,39.33551198,39.1546841,38.76688453,40.39215686,42.97603486,33.31808279,26.69281046,24.76252723
Palestine,844.0630225,806.9776527,720.9990354,641.8453376,504.8157556,341.5770096,233.7009646,179.7815113
Panama,58.45606428,56.94201573,52.46958908,48.04774786,39.80178209,32.48561995,25.9488842,20.10406142
Papua New Guinea,21.91387737,21.06481722,18.75847809,16.38421269,11.90108245,8.350557428,6.708123758,5.377795783
Paraguay,16.67046259,16.27206504,15.18849323,14.18213801,12.59691163,9.979532983,7.569506726,5.922004071
Peru,26.49328051,25.91374213,23.89626569,22.7429257,20.73926795,17.20263286,13.61047948,10.5526005
Philippines,337.5434391,327.7055466,300.9506708,276.4301759,227.7129834,179.8111832,141.4316393,109.3479128
Poland,127.4698493,122.9003739,123.2994413,123.4408227,123.1436425,121.7358857,113.6035007,103.8859117
Portugal,111.5307308,111.8274731,112.557661,114.9788359,111.8539038,108.6691932,106.2574872,94.29504832
Puerto Rico,366.6749718,368.8347238,394.2880496,419.1569335,431.4665163,399.523788,362.4090192,308.6379932
Qatar,232.6188503,238.2517694,208.4043673,147.8943553,55.75151044,38.12143967,23.94700501,10.18530986
Republic of the Congo,17.45738012,16.67302339,14.8081462,12.97626901,9.163830409,6.97495614,5.348701754,4.084763158
Reunion,387.9139785,381.4504182,367.3815213,354.4922342,312.7933094,262.442055,219.7029072,188.739546
Romania,82.46648154,81.55525167,83.50180586,85.30192415,91.94925983,95.7931885,92.81065141,83.57118348
Russia,8.463637022,8.516508832,8.461009559,8.377621454,8.588300423,8.656194245,8.086060544,7.608560576
Rwanda,523.0730503,499.1404814,442.0593439,391.4128256,307.9196978,277.9239882,199.2380591,147.9370871
Saint Barthelemy,522.2380952,508.6190476,459.1904762,428,337.2380952,246.0952381,142.047619,115.0952381
Saint Kitts and Nevis,182.5938697,182.5363985,183.1034483,181.6206897,174.1800766,155.6934866,165.1226054,172.2911877
Saint Lucia,291.9756494,290.9691558,285.1022727,277.4918831,258.9285714,231.0081169,197.4561688,167.3538961
Saint Martin,599.8301887,614.1886792,660.754717,687.8867925,558.6792453,530.6981132,146.7169811,109.4716981
Saint Pierre and Miquelon,24.2231405,24.40495868,24.70247934,25.00826446,25.92561983,26.1322314,25.23140496,22.88016529
Saint Vincent and the Grenadines,267.218509,268.9768638,273.7326478,280.9974293,292.5784062,289.1696658,276.2982005,253.1079692
Samoa,78.24841661,75.62596763,71.62948628,68.49824068,64.74595355,59.17874736,58.02427868,50.23610134
San Marino,551.8032787,557.4918033,550.3278689,518.1639344,439.7213115,379.2131148,349.9344262,297.852459
Sao Tome and Principe,235.8713693,226.8060166,208.6348548,188.939834,149.0809129,124.8371369,100.840249,80.48029046
Saudi Arabia,16.93677693,16.7452549,15.23468407,13.68193972,10.02348711,7.445149301,4.731710154,2.840498397
Senegal,88.02497433,83.54997916,72.976998,63.69455882,49.32995293,38.30787101,28.99456594,22.20262096
Serbia,81.72570478,83.27208836,85.09971594,86.61907403,89.80231097,90.39654372,88.01405597,81.41072419
Seychelles,236.9867257,233.4734513,219.5575221,204.4446903,177.1238938,157.2057522,144.4469027,120.3075221
Sierra Leone,119.9570393,114.7751464,101.9622665,89.72258154,63.89834123,60.29255645,46.94001951,38.73093114
Singapore,8416.46338,8323.759155,7957.771831,7272.661972,5709.298592,4256.632394,3381.308451,2903.987324
Sint Maarten,1299.264706,1282.970588,1182.5,971.5882353,896.7352941,818.9705882,360.0882353,184.1176471
Slovakia,115.0856088,111.2768114,110.6194098,110.0480046,109.6455738,107.2925546,101.4312254,92.23376226
Slovenia,104.5648893,104.4562226,102.6420362,101.4791101,97.88087604,97.96399152,93.79815518,85.89187589
Solomon Islands,25.06481866,23.91995432,21.20224252,18.70134275,14.88019103,11.21854236,8.086517165,5.981208472
Somalia,27.59714235,25.93403036,21.58512492,18.86068686,13.67736103,10.97627094,9.240428632,5.835389559
South Africa,49.05165445,48.15736706,45.76151583,42.41060754,38.33894141,32.65877283,24.12993955,18.31910581
South Korea,517.0722483,517.3604431,508.8753717,487.1074943,466.9054086,440.2758108,380.9051093,325.3282407
South Sudan,17.60911988,17.11385651,18.06275,15.67486466,9.866057814,7.665760918,6.764090069,5.393202043
Spain,93.99087337,93.60584159,91.76299625,92.0425066,80.51836986,76.8587033,74.09537305,66.78488395
Sri Lanka,332.7563329,330.9720927,325.2049535,315.0214449,286.1815424,262.2175583,227.7647462,188.8244018
Sudan,24.85287063,23.56250464,20.23849511,17.88903316,13.94370351,11.1824632,8.840394938,5.99406066
Suriname,3.772677329,3.705683067,3.512849469,3.333414723,2.923928702,2.51957026,2.289781467,2.319118545
Sweden,23.42763522,23.02705782,21.87310319,20.83462841,19.70051411,18.9840127,18.45848388,17.82765076
Switzerland,211.7157252,209.2484498,200.6039143,189.4786116,173.9671301,162.5737089,153.064456,149.724518
Syria,119.47969,112.1751539,103.7108651,120.6262177,88.06379739,67.01045469,48.05569716,34.12463009
Taiwan,660.1661647,658.1787638,649.6321388,637.7775537,613.2326969,568.7888266,500.1044677,413.2807449
Tajikistan,69.55127184,66.68907757,59.5671768,53.26190776,43.83646401,37.86065688,28.27368973,20.91557652
Tanzania,69.30340593,65.28977544,55.59575256,47.73161307,36.46617084,27.72867683,20.41892334,14.4094586
Thailand,139.7276076,139.2961958,136.9940696,133.0497525,122.9080975,107.6325421,89.1365626,69.75313377
Timor-Leste,90.177222,87.40049751,81.06850881,73.18044911,59.05338174,50.9685357,43.17762539,37.24761328
Togo,155.828106,148.6762349,131.6056881,115.7322356,88.19292067,68.25652901,49.97992428,38.69653958
Tokelau,155.9166667,152.25,121.1666667,113.9166667,138.8333333,139.0833333,137.25,142.8333333
Tonga,143.0495315,140.9022758,142.064257,143.7523427,137.3534137,132.1646586,129.4618474,115.7751004
Trinidad and Tobago,298.4491228,295.9350877,284.6348928,274.911501,259.688694,246.8846004,219.854191,192.7660819
Tunisia,75.52177129,74.33361653,70.64225292,66.59166921,60.46889554,51.58622945,40.20631991,30.85021698
Turkey,108.9144714,107.3755848,101.6462998,93.41359714,81.82319587,69.32973013,56.26749255,45.35823585
Turkmenistan,13.17510756,12.80565048,11.81403606,10.79280885,9.36105716,7.621958615,5.865402581,4.510206925
Turks and Caicos Islands,48.20991561,46.70464135,38.54219409,31.35654008,19.7721519,12.35126582,8.014767932,5.975738397
Tuvalu,435.0769231,425.7307692,418.3461538,405.7692308,370.6923077,353.1538462,297.3461538,223.6153846
Uganda,195.6099565,183.8319644,155.1536162,133.8924777,99.44399503,72.80741047,54.99493273,42.71253157
Ukraine,65.78581442,72.75835294,74.53614582,75.69680199,80.99379453,85.48436951,82.80682684,78.34148467
United Arab Emirates,112.9321651,111.0919737,106.6614713,101.4565909,39.1786244,22.72907895,12.12976077,3.565598086
United Kingdom,277.9289255,276.0785261,268.5235241,258.3780939,242.280951,235.530844,231.8910169,229.1073117
United States,36.09345284,35.84295122,34.63365871,33.20130092,30.13019362,26.46901258,23.80767129,21.37380516
United States Virgin Islands,286.6426513,289.4582133,296.2622478,305.8847262,311.7723343,290.1585014,278.5014409,182.8414986
Uruguay,18.90691251,18.94166842,18.7965686,18.51945491,18.18566678,17.21782649,16.31599589,15.41293348
Uzbekistan,77.39752347,74.9366473,69.17616674,63.9566987,55.71201162,45.99709432,35.6440076,26.8470295
Vanuatu,26.80613668,25.57100665,22.67930101,20.1372549,15.75797851,12.37853803,9.693658216,7.139141849
Vatican City,510,520,564,596,651,700,733,752
Venezuela,30.88204529,31.08801183,33.31320046,31.33305545,26.65487727,21.55129768,16.59722406,12.39078723
Vietnam,296.4471577,291.8030899,278.3455853,263.9125756,238.521376,202.0235167,159.9225572,126.5921796
Wallis and Futuna,81.49295775,82.07746479,85.78873239,92.54929577,103.6830986,94.74647887,79.68309859,66.03521127
Western Sahara,2.165360902,2.090406015,1.848962406,1.553744361,1.016447368,0.671161654,0.439003759,0.287109023
Yemen,63.82321277,61.14773244,54.0118814,46.86637448,35.2837672,25.33320391,17.43465134,12.96216248
Zambia,26.59760275,25.14936647,21.58911896,18.32562595,13.1424107,10.21296631,7.600779685,5.689081492
Zimbabwe,41.766461,40.1007941,36.22439777,32.85871014,30.28653613,25.88281976,18.0417139,13.31497069
